Time,FT1,FT2,FT3,FT4,FT5,FT6
11:06:33:962521,0.503,0.429,-0.795,0.083,0.014,0.007
11:06:33:967688,0.506,0.373,-0.683,0.09,0.022,0.005
11:06:33:972779,0.472,0.369,-0.691,0.094,0.033,0.004
11:06:33:977950,0.439,0.394,-0.802,0.095,0.039,0.004
11:06:33:983122,0.41,0.464,-0.972,0.096,0.047,0.005
11:06:33:988284,0.409,0.533,-1.028,0.094,0.049,0.006
11:06:33:993452,0.418,0.667,-1.068,0.089,0.049,0.007
11:06:33:998609,0.427,0.763,-1.102,0.083,0.047,0.007
11:06:34:3685,0.474,0.884,-1.141,0.073,0.041,0.007
11:06:34:8800,0.58,0.972,-1.104,0.063,0.037,0.006
11:06:34:13958,0.668,1.028,-1.049,0.058,0.037,0.006
11:06:34:19061,0.787,1.132,-0.985,0.056,0.041,0.004
11:06:34:24215,0.856,1.212,-0.982,0.057,0.045,0.003
11:06:34:29325,0.972,1.318,-1.048,0.061,0.049,0.002
11:06:34:34492,1.073,1.366,-1.128,0.063,0.052,0.002
11:06:34:39666,1.255,1.404,-1.262,0.066,0.055,0.002
11:06:34:44770,1.429,1.428,-1.354,0.068,0.058,0.002
11:06:34:49942,1.514,1.46,-1.358,0.069,0.059,0.002
11:06:34:55039,1.586,1.545,-1.235,0.07,0.06,0.001
11:06:34:60194,1.614,1.615,-1.081,0.069,0.059,0
11:06:34:65354,1.674,1.718,-0.901,0.066,0.058,0
11:06:34:70529,1.737,1.794,-0.934,0.064,0.055,0.001
11:06:34:75699,1.833,1.953,-1.223,0.059,0.051,0.005
11:06:34:80801,1.868,2.158,-1.468,0.054,0.047,0.01
11:06:34:85888,1.856,2.283,-1.412,0.051,0.045,0.012
11:06:34:91053,1.844,2.412,-0.994,0.046,0.044,0.011
11:06:34:96200,1.871,2.466,-0.646,0.044,0.043,0.01
11:06:34:101369,1.955,2.538,-0.305,0.046,0.041,0.011
11:06:34:106534,2.015,2.6,-0.268,0.05,0.039,0.013
11:06:34:111704,2.087,2.717,-0.376,0.056,0.038,0.019
11:06:34:116804,2.131,2.835,-0.374,0.058,0.038,0.023
11:06:34:121975,2.148,2.903,-0.237,0.056,0.038,0.024
11:06:34:127092,2.167,3.015,-0.002,0.052,0.037,0.026
11:06:34:132270,2.189,3.11,0.039,0.05,0.035,0.028
11:06:34:137347,2.24,3.259,-0.042,0.049,0.031,0.033
11:06:34:142514,2.28,3.327,-0.062,0.05,0.029,0.036
